palabra,sinonimo
quedaron,quedo
queda,quedo
quedando,quedo
quedan,quedo
cambia,cambiar
cambio,cambiar
csmbio,cambiar
repone,cambiar
repuso,cambiar
habridero,aisladero
abridero,aisladero
ramal,aisladero
ffusible,fusible
mts,metros
face,fase
vda,vereda
abejas,abeja
normalmente,normal
abejorros,abeja
avejas,abeja
avispas,abeja
zariguella,animal
iguana,animal
gato,animal
lineas,linea
postes,poste
acacia,arbol
acacias,arbol
acasia,arbol
acmoferica,atmosferica
acsr,cable
aguacate,arbol
ahisladero,aisladero
ahuyama,arbol
aisladeros,aisladero
aislafero,aisladero
amalia,arbol
amaranto,arbol
apicultura,abeja
apollo,poste
apollos,poste
arbolitos,arbol
arboles,arbol
alimentador,circuito
ascr,conductor
asercamiento,acercamiento
ausladero,aisladero
antifraude,conductor
apantallamiento,conductor
bajantes,conductor
barraje,conductor
barrajes,conductor
balso,arbol
baipas,bypass
baypas,bypass
bypas,bypass
beiculo,vehiculo
boltaje,voltaje
borneras,bornera
cajabornera,bornera
break,breaker
breakes,breaker
breekes,breaker
breker,breaker
brekers,breaker
bujes,buje
cableado,conductor
cabuya,arbol
cafetal,arbol
canuela,cortacircuito
canuelas,cortacircuito
cedro,arbol
cedros,arbol
ceiba,arbol
cecircuitor,circuito
chontaduro,arbol
cipres,arbol
citio,sitio
computadores,computador
conducctor,conductor
conductores,conductor
conecciones,conector
conecion,conector
coneciones,conector
conecto,conector
conecircuitor,conector
conectore,conector
conectores,conector
conetores,conector
contacircuito,cortacircuito
cruseta,cruceta
cruzetas,cruceta
domiciliaria,conductor
duplex,conductor
electrodomesticos,electrodomestico
electros,electrodomestico
elservicio,servicio
eltransformador,transformador
enconntro,encuentra
enconto,encuentra
encotro,encuentra
encue,encuentra
encuenta,encuentra
enegiza,energiza
energiso,energiza
energizada,energiza
energizado,energiza
enerjisa,energiza
enrredadera,arbol
eucalipto,arbol
eucaliptos,arbol
eucaliptus,arbol
exacircuito,circuito
faset,fase
foda,poda
fauna,animal
gallinazo,animal
grafo,trafo
guarduas,arbol
guaudas,arbol
guineo,arbol
guarumo,arbol
harboles,arbol
hecircuitor,circuito
habierto,abierto
habrio,abierto
horden,order
inpecciona,inspeccion
inpecciono,inspeccion
inspeciona,inspeccion
inspeciono,inspeccion
inspesiono,inspeccion
inspexiono,inspeccion
instacion,usuario
instalacion,usuario
instalaciones,usuario
integrador,macromedidor
isladero,aisladero
istalasiones,usuario
lines,linea
linias,linea
mormaliza,normaliza
mtto,mantenimiento
nodos,nodo
obsilacion,oscilacion
ocaciona,ocasiona
ocaciones,ocasiones
oxilaciones,oscilacion
pajaritos,animal
pararrallo,pararrayo
pararrayos,pararrayo
podas,poda
voltaje,voltaje
vornes,bornes
voltajes,voltaje
voltios,voltaje
voltio,voltaje
vlt,voltaje
varraje,barraje
veiculo,vehiculo
vento,viento
vaja,baja
trifasica,trifasico
trifasico,trifasico
trifasicos,trifasico
urto,hurto
usurario,usuario
terseros,usuario
vivienda,usuario
viviendas,usuario
vivenda,usuario
troncal,troncal
tryplex,trenza
vace,base
trensado,trenza
trensas,trenza
treza,trenza
tranza,trenza
transa,trenza
tplx,trenza
tpx,trenza
trasversal,cruceta
trasverzal,cruceta
travesal,cruceta
tranversal,cruceta
tralvelsal,cruceta
torrecilla,poste
torrecillas,poste
torresilla,poste
tab,tap
vicuerpo,medidor
sub,subestacion
subestaciones,subestacion
trasformadores,transformador
trasformador,transformador
trasfomador,transformador
trasfoador,transformador
transformafor,transformador
transformadorrmadores,transformador
transformadorrmador,transformador
transformadoros,transformador
transformadoro,transformador
transfor,transformador
transfomador,transformador
transfmador,transformador
transf,transformador
tranformador,transformador
tranfo,transformador
tramsf,transformador
trafo,transformador
trafirmador,transformador
traf,transformador
trabsformador,transformador
teafo,transformador
trf,transformador
srrvicio,servicio
sevicio,servicio
servivio,servicio
servisio,servicio
servio,servicio
servico,servicio
servici,servicio
service,servicio
servcio,servicio
serv,servicio
serbicio,servicio
cervisio,servicio
trayecto,trayecto
trallecto,trayecto
tracto,trayecto
cxto,circuito
cto,circuito
yntegrador,integrador
zonas,zona
zarigueya,animal
yarumos,arbol
vuena,buena
vtios,voltaje
votando,botar
votar,botar
voto,botar
volt,voltaje
voltage,voltaje
voltages,voltaje
vlts,voltaje
vifacico,bifasico
vifasico,bifasico
vieja,viejo
viejas,viejo
viejo,viejo
viejos,viejo
ramas,arbol
rama,arbol
redes,red
rutas,ruta
trabajos,trabajo
vegetacion,arbol
conexiones,conector
conexión,conector
problemas,problema
puentes,puente
reparacion,repara
reparo,repara
deja,quedo
quedar,quedo
cambio,cambia
csmbio,cambia
repone,cambia
repuso,cambia
cambiar,cambia
accidentes,accidente
